date,ticker,grossProfit,grossLoss,fees
2019-09-03,ES,100.00,0,4.68
2019-09-04,ES,137.50,0,4.68
2019-09-05,ES,87.50,0,4.68
2019-09-06,ES,225.00,0,4.68
2019-09-09,ES,137.50,0,4.68
2019-09-10,ES,225.00,0,4.68
2019-09-12,ES,200.00,0,4.68
2019-09-16,ES,137.50,0,4.68
2019-09-16,ES,0,475.00,4.68
2019-09-17,ES,137.50,0,4.68
2019-09-19,ES,0,475.00,4.68
2019-09-20,ES,137.50,0,4.68
2019-09-24,ES,87.50,0,4.68
2019-09-25,ES,225.00,0,4.68
2019-09-26,ES,0,187.50,4.68
2019-09-30,ES,162.50,0,4.68
2019-09-30,ES,100.00,0,4.68
2019-10-02,ES,0,275.00,4.68
2019-10-03,ES,87.50,0,4.68
2019-10-03,ES,200.00,0,4.68
2019-10-03,ES,137.50,0,4.68
2019-10-04,ES,0,275.00,4.68
2019-10-08,ES,100.00,0,4.68
2019-10-14,ES,0,187.50,4.68
2019-10-15,ES,87.50,0,4.68
2019-10-16,ES,100.00,0,4.68
2019-10-17,ES,137.50,0,4.68
2019-10-17,ES,200.00,0,4.68
2019-10-18,ES,200.00,0,4.68
2019-10-22,ES,62.50,0,4.68
2019-10-23,ES,0,275.00,4.68
2019-10-28,ES,100.00,0,4.68
2019-11-01,ES,200.00,0,4.68
2019-11-01,ES,0,375.00,4.68
2019-11-04,ES,0,475.00,4.68
2019-11-07,ES,225.00,0,4.68
2019-11-13,ES,0,475.00,4.68
2019-11-15,ES,225.00,0,4.68
2019-11-19,ES,0,375.00,4.68
2019-11-22,ES,137.50,0,4.68
2019-12-02,ES,0,275.00,4.68
2019-12-12,ES,0,275.00,4.68
2019-12-16,ES,0,275.00,4.68
2019-12-17,ES,0,275.00,4.68
2019-12-19,ES,162.50,0,4.68
2019-12-24,ES,137.50,0,4.68
2019-12-26,ES,100.00,0,4.68
2019-12-27,ES,0,475.00,4.68
2019-12-27,ES,0,275.00,4.68
2019-12-30,ES,87.50,0,4.68
2019-12-31,ES,0,275.00,4.68
2020-01-02,ES,287.50,0,4.68
2020-01-02,ES,662.50,0,4.68
2020-01-02,ES,375.00,0,4.68
2020-01-13,ES,187.50,0,4.68
2020-01-13,ES,662.50,0,4.68
2020-01-14,ES,375.00,0,4.68
2020-01-16,ES,375.00,0,4.68
2020-01-17,ES,0,287.50,4.68
2020-01-17,ES,375.00,0,4.68
2020-01-21,ES,0,212.50,4.68
2020-01-24,ES,0,212.50,4.68
2020-01-24,ES,0,287.50,4.68
2020-01-27,ES,237.50,0,4.68
2020-01-31,ES,0,212.50,4.68
2020-02-03,ES,0,862.50,4.68
2020-02-05,ES,0,575.00,4.68
2020-02-07,ES,100.00,0,4.68
2020-02-13,ES,100.00,0,4.68
2020-02-18,ES,0,575.00,4.68
2020-02-18,ES,0,575.00,4.68
2020-02-20,ES,100.00,0,4.68
2020-02-21,ES,0,862.50,4.68
2020-03-02,ES,137.50,0,4.68
2020-03-04,ES,0,575.00,4.68
2020-03-05,ES,0,425.00,4.68
2020-03-09,ES,0,575.00,4.68
2020-03-10,ES,100.00,0,4.68
2020-03-11,ES,0,425.00,4.68
2020-03-11,ES,0,575.00,4.68
2020-03-18,ES,0,575.00,4.68
2020-03-20,ES,137.50,0,4.68
2020-04-02,ES,237.50,0,4.68
2020-04-03,ES,287.50,0,4.68
2020-04-07,ES,287.50,0,4.68
2020-04-08,ES,0,212.50,4.68
2020-04-17,ES,575.00,0,4.68
2020-04-20,ES,0,287.50,4.68
2020-04-23,ES,287.50,0,4.68
2020-04-24,ES,0,287.50,4.68
2020-04-28,ES,287.50,0,4.68
2020-04-29,ES,187.50,0,4.68
2020-04-29,ES,0,150.00,4.68
2020-04-30,ES,662.50,0,4.68
2020-05-01,ES,375.00,0,4.68
2020-05-01,ES,475.00,0,4.68
2020-05-01,ES,287.50,0,4.68
2020-05-01,ES,287.50,0,4.68
2020-05-04,ES,375.00,0,4.68
2020-05-05,ES,0,362.50,4.68
2020-05-06,ES,575.00,0,4.68
2020-05-07,ES,375.00,0,4.68
2020-05-11,ES,575.00,0,4.68
2020-05-12,ES,287.50,0,4.68
2020-05-15,ES,0,212.50,4.68
2020-05-15,ES,187.50,0,4.68
2020-05-18,ES,0,287.50,4.68
2020-05-19,ES,187.50,0,4.68
2020-05-20,ES,0,362.50,4.68
2020-05-20,ES,0,212.50,4.68
2020-05-21,ES,287.50,0,4.68
2020-05-22,ES,475.00,0,4.68
2020-05-26,ES,575.00,0,4.68
2020-05-27,ES,662.50,0,4.68
2020-06-01,ES,0,425.00,4.68
2020-06-03,ES,187.50,0,4.68
2020-06-03,ES,0,575.00,4.68
2020-06-08,ES,0,725.00,4.68
2020-06-09,ES,0,425.00,4.68
2020-06-15,ES,0,287.50,4.68
2020-06-17,ES,100.00,0,4.68
2020-06-22,ES,187.50,0,4.68
2020-06-22,ES,137.50,0,4.68
